970,49103.332
969.88,48720
969.75,49568.332
969.63,49218.332
969.5,49323.332
969.38,48900
969.25,48478.332
969.13,48761.6641
969,47936.6641
968.88,48158.332
968.75,48191.6641
968.63,48653.332
968.5,48645
968.38,48565
968.25,48555
968.13,47978.332
968,47930
967.88,47810
967.75,47978.332
967.63,47448.332
967.5,47858.332
967.38,47351.6641
967.25,47953.332
967.13,47576.6641
967,48226.6641
966.88,47645
966.75,48391.6641
966.63,47796.6641
966.5,48273.332
966.38,47445
966.25,47733.332
966.13,47918.332
966,47880
965.88,47848.332
965.75,47540
965.63,47770
965.5,47508.332
965.38,47908.332
965.25,48096.6641
965.13,48246.6641
965,48511.6641
964.88,48026.6641
964.75,48608.332
964.63,49179.9961
964.5,49338.332
964.38,49814.9961
964.25,50436.6641
964.13,51104.9961
964,52071.6641
963.88,52803.332
963.75,53328.332
963.63,54509.9961
963.5,54704.9961
963.38,56776.6641
963.25,56416.6641
963.13,58009.9961
963,58754.9961
962.88,59921.6641
962.75,60489.9961
962.63,60231.6641
962.5,61066.6641
962.38,60569.9961
962.25,60771.6641
962.13,60113.332
962,60131.6641
961.88,59209.9961
961.75,58691.6641
961.63,58369.9961
961.5,57339.9961
961.38,55918.332
961.25,55476.6641
961.13,55096.6641
961,54019.9961
960.88,53549.9961
960.75,52499.9961
960.63,51309.9961
960.5,50351.6641
960.38,50146.6641
960.25,49656.6641
960.13,49273.332
960,47915
959.88,47813.332
959.75,47401.6641
959.63,46671.6641
959.5,46998.332
959.38,46625
959.25,46616.6641
959.13,46610
959,45983.332
958.88,46266.6641
958.75,46243.332
958.63,45876.6641
958.5,45788.332
958.38,45898.332
958.25,46103.332
958.13,46321.6641
958,46678.332
957.88,46486.6641
957.75,46368.332
957.63,46598.332
957.5,46575
957.38,47350
957.25,47216.6641
957.13,46740
957,47393.332
956.88,47321.6641
956.75,47931.6641
956.63,48456.6641
956.5,49196.6641
956.38,49491.6641
956.25,50029.9961
956.13,50863.332
956,50676.6641
955.88,52156.6641
955.75,52311.6641
955.63,52724.9961
955.5,53278.332
955.38,54483.332
955.25,55023.332
955.13,55926.6641
955,56968.332
954.88,57728.332
954.75,58539.9961
954.63,59464.9961
954.5,59904.9961
954.38,60726.6641
954.25,60618.332
954.13,61481.6641
954,61871.6641
953.88,61646.6641
953.75,62251.6641
953.63,62159.9961
953.5,61894.9961
953.38,61338.332
953.25,60893.332
953.13,60173.332
953,59949.9961
952.88,58691.6641
952.75,57784.9961
952.63,56904.9961
952.5,55681.6641
952.38,53981.6641
952.25,52316.6641
952.13,51294.9961
952,49691.6641
951.88,48773.332
951.75,47128.332
951.63,46218.332
951.5,45191.6641
951.38,44463.332
951.25,44035
951.13,43021.6641
951,42470
950.88,41925
950.75,41735
950.63,41085
950.5,40616.6641
950.38,40420
950.25,40118.332
950.13,40451.6641
950,39298.332
949.88,39491.6641
949.75,39381.6641
949.63,39085
949.5,39265
949.38,39360
949.25,39016.6641
949.13,38935
949,38996.6641
948.88,39101.6641
948.75,39040
948.63,38943.332
948.5,38758.332
948.38,38661.6641
948.25,38753.332
948.13,38415
948,38920
947.88,38223.332
947.75,38721.6641
947.63,38046.6641
947.5,38188.332
947.38,38958.332
947.25,38125
947.13,38476.6641
947,38395
946.88,38298.332
946.75,38575
946.63,38486.6641
946.5,38686.6641
946.38,38561.6641
946.25,38165
946.13,38720
946,38681.6641
945.88,39078.332
945.75,39736.6641
945.63,40326.6641
945.5,40775
945.38,41810
945.25,42571.6641
945.13,44225
945,44995
944.88,46545
944.75,47556.6641
944.63,48935
944.5,50153.332
944.38,51374.9961
944.25,52548.332
944.13,52848.332
944,53434.9961
943.88,53708.332
943.75,53444.9961
943.63,53769.9961
943.5,54213.332
943.38,53394.9961
943.25,53833.332
943.13,53329.9961
943,53703.332
942.88,54283.332
942.75,53598.332
942.63,54184.9961
942.5,54023.332
942.38,54129.9961
942.25,53811.6641
942.13,54539.9961
942,54736.6641
941.88,54899.9961
941.75,54956.6641
941.63,55343.332
941.5,55139.9961
941.38,55671.6641
941.25,55356.6641
941.13,54863.332
941,54143.332
940.88,53771.6641
940.75,52396.6641
940.63,51513.332
940.5,49864.9961
940.38,48823.332
940.25,47581.6641
940.13,46325
940,45241.6641
939.88,43720
939.75,43050
939.63,42091.6641
939.5,40978.332
939.38,40830
939.25,40616.6641
939.13,39865
939,39730
938.88,39308.332
938.75,39333.332
938.63,39333.332
938.5,39015
938.38,39206.6641
938.25,39023.332
938.13,39685
938,39768.332
937.88,39898.332
937.75,40465
937.63,40250
937.5,41488.332
937.38,41596.6641
937.25,42086.6641
937.13,42366.6641
937,42746.6641
936.88,43938.332
936.75,44796.6641
936.63,45586.6641
936.5,47051.6641
936.38,47931.6641
936.25,49313.332
936.13,50368.332
936,51651.6641
935.88,53243.332
935.75,55119.9961
935.63,56856.6641
935.5,58104.9961
935.38,60308.332
935.25,62249.9961
935.13,63674.9961
935,66190
934.88,68160
934.75,70270
934.63,72393.3281
934.5,73518.3281
934.38,74861.6641
934.25,77168.3281
934.13,77658.3281
934,78551.6641
933.88,79830
933.75,79388.3281
933.63,80250
933.5,78680
933.38,77760
933.25,76426.6641
933.13,75401.6641
933,72285
932.88,69543.3281
932.75,66701.6641
932.63,63663.332
932.5,60039.9961
932.38,57228.332
932.25,53333.332
932.13,51168.332
932,47736.6641
931.88,44636.6641
931.75,42341.6641
931.63,40763.332
931.5,38203.332
931.38,37241.6641
931.25,35371.6641
931.13,34570
931,33285
930.88,32576.666
930.75,32176.666
930.63,31533.332
930.5,31003.332
930.38,30971.666
930.25,30253.332
930.13,29849.998
930,30511.666
929.88,30088.332
929.75,30068.332
929.63,29903.332
929.5,29628.332
929.38,29316.666
929.25,28784.998
929.13,29334.998
929,29291.666
928.88,29173.332
928.75,28978.332
928.63,28951.666
928.5,28926.666
928.38,29113.332
928.25,28501.666
928.13,29088.332
928,29154.998
927.88,29526.666
927.75,29228.332
927.63,28809.998
927.5,29151.666
927.38,28611.666
927.25,28916.666
927.13,28769.998
927,28908.332
926.88,28501.666
926.75,28958.332
926.63,28966.666
926.5,28726.666
926.38,28639.998
926.25,28971.666
926.13,28718.332
926,28666.666
925.88,28288.332
925.75,28383.332
925.63,28626.666
925.5,28794.998
925.38,28624.998
925.25,28704.998
925.13,28908.332
925,28594.998
924.88,28791.666
924.75,28909.998
924.63,28434.998
924.5,28526.666
924.38,28404.998
924.25,28458.332
924.13,28736.666
924,28794.998
923.88,28826.666
923.75,28941.666
923.63,28906.666
923.5,28971.666
923.38,28678.332
923.25,28694.998
923.13,28399.998
923,28834.998
922.88,28873.332
922.75,28128.332
922.63,28638.332
922.5,28936.666
922.38,29021.666
922.25,28803.332
922.13,28991.666
922,28526.666
921.88,29119.998
921.75,28666.666
921.63,28946.666
921.5,28774.998
921.38,28289.998
921.25,28916.666
921.13,28704.998
921,28748.332
920.88,28786.666
920.75,28798.332
920.63,28658.332
920.5,29031.666
920.38,28786.666
920.25,29006.666
920.13,28851.666
920,29029.998
919.88,28858.332
919.75,28568.332
919.63,28949.998
919.5,29153.332
919.38,28941.666
919.25,28816.666
919.13,28884.998
919,28608.332
918.88,28731.666
918.75,28874.998
918.63,29113.332
918.5,28673.332
918.38,28731.666
918.25,28679.998
918.13,28884.998
918,28973.332
917.88,29143.332
917.75,28478.332
917.63,28918.332
917.5,28831.666
917.38,28739.998
917.25,29036.666
917.13,28941.666
917,28998.332
916.88,28821.666
916.75,28899.998
916.63,29093.332
916.5,29274.998
916.38,28854.998
916.25,29126.666
916.13,29284.998
916,28948.332
915.88,29116.666
915.75,29208.332
915.63,29014.998
915.5,29311.666
915.38,28843.332
915.25,29026.666
915.13,29166.666
915,28631.666
914.88,29374.998
914.75,29096.666
914.63,28968.332
914.5,28954.998
914.38,28913.332
914.25,28964.998
914.13,29099.998
914,28824.998
913.88,29546.666
913.75,29083.332
913.63,29571.666
913.5,29351.666
913.38,29196.666
913.25,29051.666
913.13,29638.332
913,29316.666
912.88,28903.332
912.75,29196.666
912.63,29188.332
912.5,29386.666
912.38,29219.998
912.25,29308.332
912.13,29206.666
912,29183.332
911.88,29108.332
911.75,28931.666
911.63,28983.332
911.5,29151.666
911.38,29168.332
911.25,29239.998
911.13,28863.332
911,29359.998
910.88,28959.998
910.75,29496.666
910.63,29084.998
910.5,29553.332
910.38,29404.998
910.25,29233.332
910.13,29034.998
910,29176.666
